signal_id,ticker,base_score,alignment_bonus,final_score,base_conf,conf_boost,final_conf,old_strength,new_strength
746,IBM,-0.54,0,-0.54,0.8147,0.0,0.8147,NEUTRAL,NEUTRAL
745,META,-11.41,0,-11.41,0.7918,0.0,0.7918,NEUTRAL,NEUTRAL
744,AMZN,-21.06,0,-21.06,0.8153,0.0,0.8153,WEAK,WEAK
743,NVDA,4.78,0,4.78,0.8178,0.0,0.8178,NEUTRAL,NEUTRAL
742,MOL.BD,1.43,0,1.43,0.6525,0.0,0.6525,NEUTRAL,NEUTRAL
741,OTP.BD,5.23,0,5.23,0.7185,0.0,0.7185,NEUTRAL,NEUTRAL
740,TSLA,-14.38,0,-14.38,0.7755,0.0,0.7755,NEUTRAL,NEUTRAL
739,GOOGL,-11.86,0,-11.86,0.7815,0.0,0.7815,NEUTRAL,NEUTRAL
738,MSFT,1.8,0,1.8,0.7812,0.0,0.7812,NEUTRAL,NEUTRAL
737,AAPL,5.72,0,5.72,0.791,0.0,0.791,NEUTRAL,NEUTRAL
736,NVDA,1.46,0,1.46,0.799,0.0,0.799,NEUTRAL,NEUTRAL
735,MSFT,-2.32,0,-2.32,0.7883,0.0,0.7883,NEUTRAL,NEUTRAL
734,TSLA,-14.95,0,-14.95,0.7755,0.0,0.7755,NEUTRAL,NEUTRAL
733,AAPL,19.01,0,19.01,0.7855,0.0,0.7855,WEAK,WEAK
732,OTP.BD,12.69,0,12.69,0.7185,0.0,0.7185,NEUTRAL,NEUTRAL
731,MOL.BD,13.07,0,13.07,0.74,0.0,0.74,NEUTRAL,NEUTRAL
730,IBM,-2.69,0,-2.69,0.8147,0.0,0.8147,NEUTRAL,NEUTRAL
729,META,-11.21,0,-11.21,0.7927,0.0,0.7927,NEUTRAL,NEUTRAL
728,AMZN,-22.35,0,-22.35,0.8183,0.0,0.8183,WEAK,WEAK
727,NVDA,1.46,0,1.46,0.799,0.0,0.799,NEUTRAL,NEUTRAL
726,MOL.BD,-1.07,0,-1.07,0.6525,0.0,0.6525,NEUTRAL,NEUTRAL
725,OTP.BD,12.69,0,12.69,0.7185,0.0,0.7185,NEUTRAL,NEUTRAL
724,TSLA,-14.96,0,-14.96,0.7755,0.0,0.7755,NEUTRAL,NEUTRAL
723,GOOGL,-12.4,0,-12.4,0.792,0.0,0.792,NEUTRAL,NEUTRAL
722,MSFT,-0.57,0,-0.57,0.7837,0.0,0.7837,NEUTRAL,NEUTRAL
721,AAPL,19.01,0,19.01,0.7855,0.0,0.7855,WEAK,WEAK
720,OTP.BD,21.71,0,21.71,0.6522,0.0,0.6522,WEAK,WEAK
719,MOL.BD,7.4,0,7.4,0.7043,0.0,0.7043,NEUTRAL,NEUTRAL
718,OTP.BD,-8.38,0,-8.38,0.7345,0.0,0.7345,NEUTRAL,NEUTRAL
717,MOL.BD,10.38,0,10.38,0.7043,0.0,0.7043,NEUTRAL,NEUTRAL
716,OTP.BD,-5.41,0,-5.41,0.7345,0.0,0.7345,NEUTRAL,NEUTRAL
715,MOL.BD,9.77,0,9.77,0.7043,0.0,0.7043,NEUTRAL,NEUTRAL
714,OTP.BD,-6.51,0,-6.51,0.695,0.0,0.695,NEUTRAL,NEUTRAL
713,MOL.BD,16.99,0,16.99,0.6893,0.0,0.6893,WEAK,WEAK
712,OTP.BD,11.38,0,11.38,0.695,0.0,0.695,NEUTRAL,NEUTRAL
711,MOL.BD,33.32,0,33.32,0.6893,0.0,0.6893,WEAK,WEAK
710,OTP.BD,9.28,0,9.28,0.6975,0.0,0.6975,NEUTRAL,NEUTRAL
709,MOL.BD,19.28,0,19.28,0.6893,0.0,0.6893,WEAK,WEAK
708,OTP.BD,11.21,0,11.21,0.7045,0.0,0.7045,NEUTRAL,NEUTRAL
707,MOL.BD,22.87,0,22.87,0.7108,0.0,0.7108,WEAK,WEAK
706,IBM,16.91,0,16.91,0.7225,0.0,0.7225,WEAK,WEAK
705,META,-13.19,0,-13.19,0.8047,0.0,0.8047,NEUTRAL,NEUTRAL
704,AMZN,-1.47,0,-1.47,0.7251,0.0,0.7251,NEUTRAL,NEUTRAL
703,NVDA,5.48,0,5.48,0.7913,0.0,0.7913,NEUTRAL,NEUTRAL
702,MOL.BD,22.87,0,22.87,0.7108,0.0,0.7108,WEAK,WEAK
701,OTP.BD,11.21,0,11.21,0.7045,0.0,0.7045,NEUTRAL,NEUTRAL
700,TSLA,11.23,0,11.23,0.7737,0.0,0.7737,NEUTRAL,NEUTRAL
699,GOOGL,-33.06,0,-33.06,0.8185,0.0,0.8185,WEAK,WEAK
698,MSFT,-35.26,0,-35.26,0.8308,0.0,0.8308,WEAK,MODERATE
697,AAPL,15.21,0,15.21,0.6965,0.0,0.6965,WEAK,WEAK
696,OTP.BD,11.21,0,11.21,0.7045,0.0,0.7045,NEUTRAL,NEUTRAL
695,MOL.BD,22.87,0,22.87,0.7108,0.0,0.7108,WEAK,WEAK
694,IBM,16.91,0,16.91,0.7225,0.0,0.7225,WEAK,WEAK
693,META,-13.19,0,-13.19,0.8047,0.0,0.8047,NEUTRAL,NEUTRAL
692,AMZN,-3.14,0,-3.14,0.7316,0.0,0.7316,NEUTRAL,NEUTRAL
691,NVDA,6.04,0,6.04,0.7953,0.0,0.7953,NEUTRAL,NEUTRAL
690,MOL.BD,22.87,0,22.87,0.7108,0.0,0.7108,WEAK,WEAK
689,OTP.BD,11.21,0,11.21,0.7045,0.0,0.7045,NEUTRAL,NEUTRAL
688,TSLA,11.23,0,11.23,0.7737,0.0,0.7737,NEUTRAL,NEUTRAL
687,GOOGL,-33.06,0,-33.06,0.8185,0.0,0.8185,WEAK,WEAK
686,MSFT,-35.26,0,-35.26,0.8308,0.0,0.8308,WEAK,MODERATE
685,AAPL,15.41,0,15.41,0.6935,0.0,0.6935,WEAK,WEAK
684,IBM,16.91,0,16.91,0.7225,0.0,0.7225,WEAK,WEAK
683,META,-9.79,0,-9.79,0.7963,0.0,0.7963,NEUTRAL,NEUTRAL
682,AMZN,-1.72,0,-1.72,0.7261,0.0,0.7261,NEUTRAL,NEUTRAL
681,NVDA,8.41,0,8.41,0.7958,0.0,0.7958,NEUTRAL,NEUTRAL
680,MOL.BD,24.73,0,24.73,0.7448,0.0,0.7448,WEAK,WEAK
679,OTP.BD,0.93,0,0.93,0.7045,0.0,0.7045,NEUTRAL,NEUTRAL
678,TSLA,9.18,0,9.18,0.7792,0.0,0.7792,NEUTRAL,NEUTRAL
677,GOOGL,-18.6,0,-18.6,0.7855,0.0,0.7855,WEAK,WEAK
676,MSFT,-32.25,0,-32.25,0.8083,0.0,0.8083,WEAK,WEAK
675,AAPL,11.65,0,11.65,0.7025,0.0,0.7025,NEUTRAL,NEUTRAL
674,IBM,16.91,0,16.91,0.7225,0.0,0.7225,WEAK,WEAK
673,META,-9.99,0,-9.99,0.7978,0.0,0.7978,NEUTRAL,NEUTRAL
672,AMZN,-4.54,0,-4.54,0.7296,0.0,0.7296,NEUTRAL,NEUTRAL
671,NVDA,8.41,0,8.41,0.7958,0.0,0.7958,NEUTRAL,NEUTRAL
670,MOL.BD,24.73,0,24.73,0.7448,0.0,0.7448,WEAK,WEAK
669,OTP.BD,-0.75,0,-0.75,0.7045,0.0,0.7045,NEUTRAL,NEUTRAL
668,TSLA,9.18,0,9.18,0.7792,0.0,0.7792,NEUTRAL,NEUTRAL
667,GOOGL,-17.01,0,-17.01,0.782,0.0,0.782,WEAK,WEAK
666,MSFT,-32.65,0,-32.65,0.8073,0.0,0.8073,WEAK,WEAK
665,AAPL,11.65,0,11.65,0.7025,0.0,0.7025,NEUTRAL,NEUTRAL
664,IBM,16.91,0,16.91,0.7225,0.0,0.7225,WEAK,WEAK
663,META,-9.13,0,-9.13,0.8063,0.0,0.8063,NEUTRAL,NEUTRAL
662,AMZN,-5.99,0,-5.99,0.7456,0.0,0.7456,NEUTRAL,NEUTRAL
661,NVDA,6.88,0,6.88,0.7947,0.0,0.7947,NEUTRAL,NEUTRAL
660,MOL.BD,24.73,0,24.73,0.7448,0.0,0.7448,WEAK,WEAK
659,OTP.BD,-0.75,0,-0.75,0.7045,0.0,0.7045,NEUTRAL,NEUTRAL
658,TSLA,8.41,0,8.41,0.7917,0.0,0.7917,NEUTRAL,NEUTRAL
657,GOOGL,-20.71,0,-20.71,0.8065,0.0,0.8065,WEAK,WEAK
656,MSFT,-36.77,0,-36.77,0.8237,0.0,0.8237,WEAK,MODERATE
655,AAPL,11.66,0,11.66,0.705,0.0,0.705,NEUTRAL,NEUTRAL
654,IBM,16.91,0,16.91,0.7225,0.0,0.7225,WEAK,WEAK
653,META,-9.18,0,-9.18,0.8067,0.0,0.8067,NEUTRAL,NEUTRAL
652,AMZN,-2.06,0,-2.06,0.7381,0.0,0.7381,NEUTRAL,NEUTRAL
651,NVDA,6.88,0,6.88,0.7947,0.0,0.7947,NEUTRAL,NEUTRAL
650,MOL.BD,24.73,0,24.73,0.7448,0.0,0.7448,WEAK,WEAK
649,OTP.BD,-0.46,0,-0.46,0.7045,0.0,0.7045,NEUTRAL,NEUTRAL
648,TSLA,8.41,0,8.41,0.7917,0.0,0.7917,NEUTRAL,NEUTRAL
647,GOOGL,-20.79,0,-20.79,0.8065,0.0,0.8065,WEAK,WEAK
646,MSFT,-34.36,0,-34.36,0.8153,0.0,0.8153,WEAK,WEAK
645,AAPL,11.66,0,11.66,0.705,0.0,0.705,NEUTRAL,NEUTRAL
644,NVDA,13.87,0,13.87,0.8098,0.0,0.8098,NEUTRAL,NEUTRAL
643,MOL.BD,24.25,0,24.25,0.7448,0.0,0.7448,WEAK,WEAK
642,OTP.BD,-0.46,0,-0.46,0.7045,0.0,0.7045,NEUTRAL,NEUTRAL
641,TSLA,8.41,0,8.41,0.7917,0.0,0.7917,NEUTRAL,NEUTRAL
640,GOOGL,-18.22,0,-18.22,0.798,0.0,0.798,WEAK,WEAK
639,MSFT,-29.74,0,-29.74,0.8093,0.0,0.8093,WEAK,WEAK
