segment,window_h,n,accuracy_pct,correct,neutral_actual,wrong
ALL,1,22680,27.5,6243,5957,10480
ALL,2,19090,22.9,4376,3888,10826
ALL,4,12419,17.9,2229,1737,8453
ALL,6,4590,15.9,732,511,3347
confidence=high,1,15509,26.2,4065,4041,7403
confidence=high,2,12877,21.3,2737,2682,7458
confidence=high,4,8296,14.5,1207,1144,5945
confidence=high,6,2973,11.0,326,305,2342
confidence=medium,1,6990,30.3,2118,1856,3016
confidence=medium,2,6059,26.4,1599,1166,3294
confidence=medium,4,4028,25.1,1010,581,2437
confidence=medium,6,1590,25.1,399,199,992
confidence=low,1,181,33.1,60,60,61
confidence=low,2,154,26.0,40,40,74
confidence=low,4,95,12.6,12,12,71
confidence=low,6,27,25.9,7,7,13
impact_level=5,1,25,28.0,7,7,11
impact_level=5,2,25,28.0,7,6,12
impact_level=5,4,21,33.3,7,1,13
impact_level=4,1,249,32.5,81,58,110
impact_level=4,2,218,33.0,72,33,113
impact_level=4,4,147,29.9,44,26,77
impact_level=4,6,67,32.8,22,7,38
impact_level=3,1,2315,36.1,836,629,850
impact_level=3,2,1994,38.8,774,388,832
impact_level=3,4,1339,41.8,560,173,606
impact_level=3,6,557,45.6,254,84,219
impact_level=2,1,1379,30.8,425,369,585
impact_level=2,2,1186,25.8,306,244,636
impact_level=2,4,780,24.1,188,107,485
impact_level=2,6,257,23.3,60,26,171
impact_level=1,1,18712,26.2,4894,4894,8924
impact_level=1,2,15667,20.5,3217,3217,9233
impact_level=1,4,10132,14.1,1430,1430,7272
impact_level=1,6,3701,10.6,394,394,2913
priced_in=False,1,6010,32.2,1937,1650,2423
priced_in=False,2,5201,29.4,1529,1040,2632
priced_in=False,4,3379,28.6,965,473,1941
priced_in=False,6,1259,29.7,374,153,732
priced_in=True,1,16670,25.8,4306,4307,8057
priced_in=True,2,13889,20.5,2847,2848,8194
priced_in=True,4,9040,14.0,1264,1264,6512
priced_in=True,6,3331,10.7,358,358,2615
confidence=high_level=5,1,25,28.0,7,7,11
confidence=high_level=5,2,25,28.0,7,6,12
confidence=high_level=5,4,21,33.3,7,1,13
confidence=high_level=4,1,212,32.5,69,49,94
confidence=high_level=4,2,186,33.3,62,23,101
confidence=high_level=4,4,126,29.4,37,21,68
confidence=high_level=4,6,57,29.8,17,7,33
confidence=high_level=3,1,175,35.4,62,57,56
confidence=high_level=3,2,150,40.0,60,45,45
confidence=high_level=3,4,100,53.0,53,12,35
confidence=high_level=3,6,25,44.0,11,2,12
confidence=medium_level=4,1,37,32.4,12,9,16
confidence=medium_level=4,2,32,31.2,10,10,12
confidence=medium_level=4,4,21,33.3,7,5,9
confidence=medium_level=4,6,10,50.0,5,0,5
confidence=medium_level=3,1,2140,36.2,774,572,794
confidence=medium_level=3,2,1844,38.7,714,343,787
confidence=medium_level=3,4,1239,40.9,507,161,571
confidence=medium_level=3,6,532,45.7,243,82,207
