catalyst_type,window_h,n,accuracy_pct,neutral_actual_pct,avg_abs_move_pct,llm_up_pct,llm_down_pct,llm_neutral_pct
analyst,1,200,31.5,29.0,0.4537,55.5,14.5,30.0
analyst,2,174,36.2,19.5,0.629,57.5,13.2,29.3
analyst,4,140,35.7,17.1,0.7216,51.4,14.3,34.3
analyst,6,76,39.5,15.8,1.1134,48.7,13.2,38.2
corporate_action,1,2099,31.1,28.4,0.4064,32.1,10.4,57.5
corporate_action,2,1878,28.4,21.0,0.5535,33.0,10.8,56.2
corporate_action,4,1184,27.4,16.4,0.7435,35.6,7.3,57.0
corporate_action,6,435,30.3,13.6,1.0058,42.3,8.0,49.7
earnings,1,193,33.2,20.2,0.5516,37.8,30.6,31.6
earnings,2,176,32.4,19.9,0.6615,39.2,30.7,30.1
earnings,4,119,36.1,10.1,1.1385,38.7,37.0,24.4
earnings,6,48,29.2,10.4,1.4166,37.5,31.2,31.2
macro,1,640,26.7,26.1,0.4756,5.5,28.1,66.4
macro,2,533,24.0,17.3,0.7154,4.7,30.6,64.7
macro,4,352,21.3,13.4,0.8976,4.3,34.4,61.4
macro,6,163,19.6,12.3,1.3702,5.5,40.5,54.0
other,1,18476,26.8,26.1,0.4321,2.7,2.2,95.1
other,2,15429,21.5,20.5,0.5986,2.6,2.3,95.1
other,4,10038,15.5,13.8,0.8393,2.8,2.5,94.6
other,6,3652,12.5,10.6,1.1125,2.7,2.4,94.9
regulatory,1,812,28.7,27.6,0.4371,26.6,34.5,38.9
regulatory,2,674,26.9,19.3,0.6284,24.9,34.0,41.1
regulatory,4,410,26.6,11.2,0.8597,23.2,35.6,41.2
regulatory,6,122,23.8,9.8,1.0723,14.8,49.2,36.1
sector,1,260,41.2,22.3,0.4641,58.8,21.5,19.6
sector,2,226,43.8,17.7,0.6777,57.5,21.2,21.2
sector,4,176,43.2,16.5,0.7882,51.1,23.9,25.0
sector,6,94,42.6,16.0,1.3147,43.6,29.8,26.6
